country,ISO_A3,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Eswatini,SWZ,9580.68,9811.95,9969.81,9998.09,9809.36,10026.19,10624.11,10717.08,12164.16,13082.59,14216.04
Sint Maarten (Dutch part),SXM,1297.13,1595.75,1670.74,1715.28,1734.51,1654.13,1846.23,1595.27,1683.92,1979.13,2121.01
Seychelles,SYC,2022.71,2282.56,2376.13,2727.78,2939.95,3105.22,3340.64,3057.83,2975.74,3662.31,3915.82
Syrian Arab Republic,SYR,,,,,62769.89,67658.92,71281.64,72851.41,62150.52,,
Turks and Caicos Islands,TCA,703.61,787.25,878.99,980.03,1031.79,1111.83,1154.79,731.19,958.81,1089.95,1143.24
Chad,TCD,20948.29,23254.98,26192.08,24840.32,24544.44,26393.92,29785.91,27018.64,30311.04,33355.12,35996.04
East Asia & Pacific (IDA & IBRD countries),TEA,22283737.38,23605953.97,24564255.13,25961910.26,27719122.36,30175961.38,32582927.77,33381013.64,37550246.83,41657817.77,45327959.4
Europe & Central Asia (IDA & IBRD countries),TEC,8865679.91,9106274.89,9057152.46,9360962.28,10006835.03,10759030.21,11643164.87,11870224.17,13838130.87,15086101.4,16508094.41
Togo,TGO,12497.17,13473.94,14404.27,15189.5,15997.66,17071.65,18743.27,20432.44,22881.38,25903.11,28567.63
Thailand,THA,1062759.71,1078896.78,1113921.79,1181322.17,1250522.15,1347310.63,1427827.12,1372918.88,1452137.22,1592663.44,1681795.91
Tajikistan,TJK,23981.01,26555.02,25719.5,25833.18,27412.33,28565.17,32973.43,35623.59,39727.22,45926.38,51551.23
Turkmenistan,TKM,69625.76,75798.48,79032.36,82167.73,86403.38,95629.64,105309.57,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,8908064.21,9192141.75,9156613.5,9407169.34,9899220.61,10419647.51,10763225.99,10428568.17,11815122.15,13281528.79,14089347.11
Timor-Leste,TLS,2973.25,3380.08,3756.62,4195.73,4371.25,4573.75,5911.82,8131.47,9206.97,7830.81,6950.88
Tonga,TON,547.75,568.54,580.54,624.57,656.88,673.54,689.69,702.21,714.82,749.75,
South Asia (IDA & IBRD),TSA,8341246.56,8774846.79,9280525.73,10005315.23,10710168.14,11785669.26,12640464.75,12584413.83,14474501.87,16484948.61,18198822.48
Trinidad and Tobago,TTO,42780.1,43413.38,40532.81,38381.87,38982.33,40092.21,40493.71,36393.09,42156.63,45793.74,48461.19
Tunisia,TUN,118895.81,123418.43,122945.41,126742.37,131519.91,139320.48,148376.29,142707.72,149105.83,163760.45,170448.56
Turkiye,TUR,1703669.57,1860471.15,2022398.64,2116397.79,2264269.91,2303774.94,2350308.23,2391489.38,2662213.34,3259417.65,3767230.35
Tuvalu,TUV,36.22,36.85,41.07,43.81,45.68,47.38,54.83,53.18,56.62,61.02,65.68
Tanzania,TZA,103152.55,108559.93,116993.0,127160.95,133500.82,151987.44,171137.21,194561.91,212790.08,238172.8,259661.12
Uganda,UGA,72260.07,77668.41,82192.55,84011.71,86701.09,96102.59,104978.22,112575.27,123267.19,138000.2,150513.46
Ukraine,UKR,502958.22,458591.72,431227.25,469908.64,496521.67,537198.42,604396.09,656105.59,746470.6,569240.08,621258.26
Upper middle income,UMC,35224571.67,36796110.7,37440803.99,39150577.84,41542691.24,44523052.19,47213721.03,47782114.36,54019575.87,60022842.56,65088125.26
Uruguay,URY,69119.28,73395.68,74664.26,77184.69,79989.66,82780.57,87589.21,87617.73,100003.72,112083.89,116596.24
United States,USA,16880683.0,17608138.0,18295019.0,18804913.0,19612102.0,20656516.0,21521395.0,21322950.0,23594031.0,25744108.0,27360935.0
Uzbekistan,UZB,190612.22,199766.95,209082.43,216467.15,221561.02,237036.93,252312.59,257295.47,284983.88,322342.38,354100.42
St. Vincent and the Grenadines,VCT,1257.05,1305.0,1324.04,1435.02,1434.42,1541.35,1598.38,1596.08,1635.27,1875.74,2061.07
"Venezuela, RB",VEN,,,,,,,,,,,
British Virgin Islands,VGB,,,,,,,,,,,
Virgin Islands (U.S.),VIR,3493.39,3491.16,3508.58,3598.62,3636.13,3931.91,4269.08,4395.54,4895.22,,
Viet Nam,VNM,612129.66,668974.83,712101.2,787204.62,872747.36,963332.82,1071756.12,1138632.49,1192059.3,1379647.94,1502096.77
Vanuatu,VUT,720.69,756.25,766.06,809.6,876.16,922.23,968.1,931.91,959.51,1046.75,1108.91
Samoa,WSM,1068.05,1093.82,1146.48,1249.78,1290.05,1311.56,1392.94,1367.47,1328.92,1347.01,1507.69
Kosovo,XKX,14709.96,14865.72,15584.66,16277.27,16801.44,18004.54,19429.24,18854.78,22080.26,24646.16,26397.16
"Yemen, Rep.",YEM,92755.61,,,,,,,,,,
Zambia,ZMB,53546.65,54700.79,54731.52,56043.42,59154.46,61869.93,62232.37,60176.23,68672.12,77366.2,84863.03
Zimbabwe,ZWE,34688.24,36277.7,38109.21,40834.05,35930.65,39306.17,41634.47,43638.02,52399.07,59746.8,64993.42
